,Antigua and Barbuda,Antigua and Barbuda
,Last Updated:  22 Aug 2018,Last Updated:  22 Aug 2018
Governor Gen.,Rodney WILLIAMS,#NAME?
Prime Min.,Gaston BROWNE,#NAME?
Senior Min.,Lester BIRD,#NAME?
"Min. of Agriculture, Fisheries, & Barbuda Affairs",Dean JONAS,#NAME?
"Min. of Education, Science, & Technology",Michael BROWNE,#NAME?
Min. of Finance & Corporate Governance,Gaston BROWNE,#NAME?
"Min. of Foreign Affairs, Immigration, & Intl. Trade",Paul GREENE,#NAME?
"Min. of Health, Wellness, & the Environment",Molwyn JOSEPH,#NAME?
"Min. of Housing, Lands, & Urban Renewal",Maria BROWNE,#NAME?
"Min. of Information, Broadcasting, Telecommunications, & Information",,#NAME?
Technology,Melford NICHOLAS,#NAME?
"Min. of Legal Affairs, Public Safety, & Labor",Steadroy BENJAMIN,#NAME?
"Min. of Public Utilities, Civil Aviation, & Energy",Robin YEARWOOD,#NAME?
Min. of Social Transformation & Human Resource Development,Samantha Nicole MARSHALL,#NAME?
"Min. of Sports, Culture, National Festivals, & the Arts",Daryll MATHEW,#NAME?
Min. of Tourism & Economic Development,Charles FERNANDEZ,#NAME?
Min. of Works,Lennox WESTON,#NAME?
Attorney Gen.,Steadroy BENJAMIN,#NAME?
Ambassador to the US,Ronald SANDERS,#NAME?
"Permanent Representative to the UN, New York",Walton Alfonso WEBSON,#NAME?
,Argentina,Argentina
,Last Updated:  7 Dec 2018,Last Updated:  7 Dec 2018
Pres.,Mauricio MACRI,#NAME?
Vice Pres.,Gabriela MICHETTI,#NAME?
Chief of Cabinet,Marcos PENA,#NAME?
Min. of Defense,Oscar AGUAD,#NAME?
"Min. of Education, Culture, Science, & Technology",Alejandro FINOCCHIARO,#NAME?
Min. of Foreign Relations & Worship,Jorge Marcelo FAURIE,#NAME?
Min. of Health & Social Development,Carolina STANLEY,#NAME?
"Min. of the Interior, Public Works, & Housing",Rogelio FRIGERIO,#NAME?
Min. of Justice & Human Rights,German GARAVANO,#NAME?
Min. of Production & Work,Dante SICA,#NAME?
Min. of Security,Patricia BULLRICH,#NAME?
Min. of Transportation,Guillermo DIETRICH,#NAME?
Min. of Treasury & Finance,Nicolas DUJOVNE,#NAME?
"Pres., Central Bank",Guido SANDLERIS,#NAME?
Ambassador to the US,Fernando ORIS DE ROA,#NAME?
"Permanent Representative to the UN, New York",Martin GARCIA MORITAN,#NAME?
,Armenia,Armenia
,Last Updated:  20 Dec 2018,Last Updated:  20 Dec 2018
Pres.,Armen SARGSYAN,#NAME?
Prime Min.,Nikol PASHINYAN,#NAME?
First Dep. Prime Min.,Ararat MIRZOYAN,#NAME?
Dep. Prime Min.,Tigran AVINYAN,#NAME?
Dep. Prime Min.,Mher GRIGORYAN,#NAME?
President's Chief of Staff,Eduard AGHAJANYAN,#NAME?
Min. of Agriculture,Artur KHACHATRYAN,#NAME?
Min. of Culture,Lilit MAKUNTS,#NAME?
Min. of Defense,Davit TONOYAN,#NAME?
Min. of Diaspora,Mkhitar HAYRAPETYAN,#NAME?
Min. of Economic Development & Investment,Artsvik MINASYAN,#NAME?
Min. of Education & Science,Arayik HARUTYUNYAN,#NAME?
Min. of Emergency Situations,Hrachya ROSTOMYAN,#NAME?
Min. of Energy Infrastructure & Natural Resources,Artur GRIGORYAN,#NAME?
Min. of Finance,Atom JANJUGHAZYAN,#NAME?
Min. of Foreign Affairs,Zohrab MNATSAKANYAN,#NAME?
